valuation_year,valuation_month,valuation_day,valuation_dayofweek,has_renovation,in_gated_community,bathrooms_full,bathrooms_half,bedrooms,exterior_stories,garage_spaces,pool,renovation_amount,total_finished_sq_ft,basement_finished_sq_ft,sq_ft,above_grade_sq_ft,age,f_days_since_prev_close,back_yard_condition_needs_work,back_yard_condition_no_yard,back_yard_condition_partially_landscaped,bathroom_condition_needs_work,bathroom_condition_typical_use,kitchen_appliance_type_mixed,kitchen_appliance_type_other,kitchen_appliance_type_stainless_steel,kitchen_appliance_type_white,kitchen_condition_needs_work,kitchen_condition_typical_use,kitchen_countertop_formica,kitchen_countertop_granite,kitchen_countertop_granite_slab,kitchen_countertop_granite_tile,kitchen_countertop_other,kitchen_countertop_other/unknown,kitchen_countertop_other_tile,kitchen_countertop_quartz,kitchen_countertop_solid_stone_slab,paint_condition_needs_work,paint_condition_typical_use,primary_floor_condition_heavily_worn,primary_floor_condition_typical_use,primary_floor_type_hardwood,primary_floor_type_laminate,primary_floor_type_other,primary_floor_type_tile,secondary_floor_condition_heavily_worn,secondary_floor_condition_typical_use,secondary_floor_type_hardwood,secondary_floor_type_laminate,secondary_floor_type_other,secondary_floor_type_tile,market_name_atlantis,market_name_kamar_taj,market_name_latvaria,market_name_metropolis,market_name_themyscira,market_name_valhalla,market_name_wakanda,market_name_zen_whoberi,hvac_age_16_plus_years,hvac_age_8_to_15_years,hvac_age_not_sure,roof_age_16_plus_years,roof_age_8_to_15_years,roof_age_not_sure,valuation_year,valuation_month,valuation_day,valuation_dayofweek,has_renovation,in_gated_community,bathrooms_full,bathrooms_half,bedrooms,exterior_stories,garage_spaces,pool,renovation_amount,total_finished_sq_ft,basement_finished_sq_ft,sq_ft,above_grade_sq_ft,age,f_days_since_prev_close,back_yard_condition_needs_work,back_yard_condition_no_yard,back_yard_condition_partially_landscaped,bathroom_condition_needs_work,bathroom_condition_typical_use,kitchen_appliance_type_mixed,kitchen_appliance_type_other,kitchen_appliance_type_stainless_steel,kitchen_appliance_type_white,kitchen_condition_needs_work,kitchen_condition_typical_use,kitchen_countertop_formica,kitchen_countertop_granite,kitchen_countertop_granite_slab,kitchen_countertop_granite_tile,kitchen_countertop_other,kitchen_countertop_other/unknown,kitchen_countertop_other_tile,kitchen_countertop_quartz,kitchen_countertop_solid_stone_slab,paint_condition_needs_work,paint_condition_typical_use,primary_floor_condition_heavily_worn,primary_floor_condition_typical_use,primary_floor_type_hardwood,primary_floor_type_laminate,primary_floor_type_other,primary_floor_type_tile,secondary_floor_condition_heavily_worn,secondary_floor_condition_typical_use,secondary_floor_type_hardwood,secondary_floor_type_laminate,secondary_floor_type_other,secondary_floor_type_tile,market_name_atlantis,market_name_kamar_taj,market_name_latvaria,market_name_metropolis,market_name_themyscira,market_name_valhalla,market_name_wakanda,market_name_zen_whoberi,hvac_age_16_plus_years,hvac_age_8_to_15_years,hvac_age_not_sure,roof_age_16_plus_years,roof_age_8_to_15_years,roof_age_not_sure,common_scope
2027,5,31,0,0,0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,2277.0,0.0,2290.0,2277.0,12.0,4380.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4108729,25,961,0,0,0,4.0,1.0,16.0,4.0,4.0,0.0,0.0,5184729.0,0.0,5244100.0,5184729.0,144.0,19184400.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3554.43
2027,5,31,0,0,0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,1411.0,0.0,1411.0,1411.0,59.0,21535.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4108729,25,961,0,0,0,4.0,0.0,9.0,1.0,4.0,0.0,0.0,1990921.0,0.0,1990921.0,1990921.0,3481.0,463756225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8841.98
2027,5,31,0,0,0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,1916.0,0.0,1916.0,1916.0,16.0,458.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4108729,25,961,0,0,0,4.0,0.0,9.0,1.0,4.0,0.0,0.0,3671056.0,0.0,3671056.0,3671056.0,256.0,209764.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1086.3
2027,5,31,0,0,0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,2900.0,0.0,2900.0,2900.0,20.0,5190.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4108729,25,961,0,0,0,4.0,1.0,16.0,4.0,4.0,0.0,0.0,8410000.0,0.0,8410000.0,8410000.0,400.0,26936100.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1934.75
2027,5,31,0,0,0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,1756.0,0.0,1756.0,1756.0,51.0,1109.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4108729,25,961,0,0,0,4.0,0.0,16.0,1.0,0.0,0.0,0.0,3083536.0,0.0,3083536.0,3083536.0,2601.0,1229881.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3692.0
2027,5,31,0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,880.0,0.0,880.0,880.0,57.0,2588.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4108729,25,961,0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,774400.0,0.0,774400.0,774400.0,3249.0,6697744.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,362.1
2027,5,31,0,0,0,3.0,1.0,6.0,2.0,2.0,0.0,0.0,3740.0,1133.0,3266.0,2607.0,24.0,1126.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4108729,25,961,0,0,0,9.0,1.0,36.0,4.0,4.0,0.0,0.0,13987600.0,1283689.0,10666756.0,6796449.0,576.0,1267876.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1597.5
2027,5,31,0,0,0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,2202.0,0.0,2202.0,2202.0,16.0,5840.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4108729,25,961,0,0,0,4.0,0.0,9.0,4.0,4.0,0.0,0.0,4848804.0,0.0,4848804.0,4848804.0,256.0,34105600.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5716.92
2027,5,31,0,0,0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1340.0,0.0,1385.0,1340.0,28.0,5358.0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4108729,25,961,0,0,0,4.0,1.0,9.0,4.0,0.0,0.0,0.0,1795600.0,0.0,1918225.0,1795600.0,784.0,28708164.0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3635.2
2027,5,31,0,0,0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1364.0,0.0,1364.0,1364.0,44.0,1305.0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4108729,25,961,0,0,0,4.0,4.0,16.0,4.0,0.0,0.0,0.0,1860496.0,0.0,1860496.0,1860496.0,1936.0,1703025.0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14064.67
2027,5,31,0,0,0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,1340.0,0.0,1340.0,1340.0,42.0,488.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4108729,25,961,0,0,0,4.0,0.0,9.0,4.0,0.0,0.0,0.0,1795600.0,0.0,1795600.0,1795600.0,1764.0,238144.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6992.08
